position_global,page_num,page_pos,competitor_listing_id,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
1,1,1,,Гатчинский муниципальный район,"25 Октября пр-кт, 37а",230,10 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/25-oktyabrya-pr-kt-37a/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
2,1,2,,Красногвардейский,"Северный пр-кт, 115",91.2,29 900 000,10 800 000,У нас дешевле на 19 100 000 (63.9%),-19 100 000,-63.9%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/severnyy-pr-ruchi/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18918"",""ссылка"")","По адресу есть, но площадь другая",4,"Архив rent 50 м² 90 000 =HYPERLINK(""https://app.worldcafe.ru/object/18964"",""ссылка"") | Архив sale 144 м² 31 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/19421"",""ссылка"") | На сайте sale 17.9 м² 10 800 000 =HYPERLINK(""https://app.worldcafe.ru/object/18918"",""ссылка"") | Архив sale 260 м² 63 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/18902"",""ссылка"")"
3,1,3,,Курортный,"Отдыха ул, 6 А",26647,1 700 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/otdykha-ul-6-a/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
4,1,4,1,Выборгский,"Фёдора Абрамова, 18к1",20,10 450 000,45 000 000,У нас дороже на 34 550 000 (330.6%),34 550 000,330.6%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/ul-fedora-abramova-d-18-k-1/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/14858"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив sale 107.3 м² 45 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/14858"",""ссылка"")"
5,1,5,38,Московский,"Костюшко ул, 38",56,16 900 000,30 000 000,У нас дороже на 13 100 000 (77.5%),13 100 000,77.5%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/kostyushko-ul-38/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19797"",""ссылка"")","По адресу есть, но площадь другая",1,"На сайте sale 140 м² 30 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/19797"",""ссылка"")"
6,1,6,50,Василеостровский,"13-я В.О. линия, 50",1000,482 196 523,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/13-ya-v-o-liniya-50/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
7,1,7,1407189380,Адмиралтейский,"Московский пр-кт, 73к3 А",299,8 500 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/moskovskiy-pr-d-73-k-3-1407189380/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
8,1,8,5,Чкаловский,"Леонова ул, 5",707,77 700 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/zamyatin-per-d-5/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
9,1,9,1545894825,Центральный,"Лиговский пр-кт, 56Б",86.1,21 525 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/ligovskiy-pr-d-56-1545894825/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
10,1,10,414833084,Центральный,"Лиговский пр-кт, 56Б",52.5,14 962 500,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/ligovskiy-pr-d-56-414833084/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
11,1,11,56,Центральный,"Лиговский пр-кт, 56Б",82.7,20 675 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/ligovskiy-pr-d-56/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
12,1,12,1,,"Маршала Блюхера пр-кт, 74к2 стр 1",2364,283 680 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/marshala-blyukhera-pr-kt-74k2-str-1/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
13,1,13,,Выборгский,"Есенина ул, 8к1",27,10 000 000,70 000,У нас дешевле на 9 930 000 (99.3%),-9 930 000,-99.3%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/esenina-ul-8k1/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13163"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 35 м² 70 000 =HYPERLINK(""https://app.worldcafe.ru/object/13163"",""ссылка"")"
14,1,14,60966936,Петродворцовый,"проспект Будённого, 18к4",244,80 520 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/prospekt-budyennogo-18k4-60966936/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
15,1,15,,Петродворцовый,"проспект Будённого, 18к4",93,32 550 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/prospekt-budyennogo-18k4/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
16,1,16,468742874,Центральный,"Чайковского ул, 12а Л",724,175 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/chaykovskogo-ul-12a-l-468742874/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
17,1,17,,Центральный,"Чайковского ул, 12а Л",192,41 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/chaykovskogo-ul-12a-l/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
18,1,18,20,Адмиралтейский,"Московский пр-кт, 20",48,10 500 000,40 000 000,У нас дороже на 29 500 000 (281.0%),29 500 000,281.0%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/moskovskiy-pr-d-20/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18409"",""ссылка"")","По адресу есть, но площадь другая",3,"На сайте sale 143.7 м² 40 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/18409"",""ссылка"") | Архив rent 146 м² 300 000 =HYPERLINK(""https://app.worldcafe.ru/object/18875"",""ссылка"") | На сайте business_sale 146 м² 2 599 739 =HYPERLINK(""https://app.worldcafe.ru/object/18875"",""ссылка"")"
