position_global,page_num,page_pos,competitor_listing_id,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
1,1,1,50481,,"Санкт-Петербург, -, -",55,8 500 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-ellinga-v-iaxt-klube-baltiec"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
2,1,2,50471,,"Санкт-Петербург г, Большеохтинский пр-кт, 12",756,100 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/pomeshhenie-s-wb-i-aptekoi"",""ссылка"")",,"По адресу есть, но площадь другая",1,"Без сделки no_deal 730 м² =HYPERLINK(""https://app.worldcafe.ru/object/14194"",""ссылка"")"
3,1,3,50472,,"Санкт-Петербург г, Театральная пл, 16",127,35 800 000,36 000 000,У нас дороже на 200 000 (0.6%),200 000,0.6%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/pomeshhenie-s-ozon-i-iandeks"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/8931"",""ссылка"")",Совпало,2,"Архив rent 122 м² 317 000 =HYPERLINK(""https://app.worldcafe.ru/object/8931"",""ссылка"") | Архив sale 122 м² 36 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/8931"",""ссылка"")"
4,1,4,50473,,"Санкт-Петербург г, Муринская дор, 4к1",229,92 500 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/pomeshhenie-s-magnitom-i-pvz-wb-v-novom-zk"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
5,1,5,50474,,"Ленинградская обл, Кудрово г, Строителей пр-кт, 16",79.3,20 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/pomeshhenie-s-krasnym-i-belym-v-kudrovo"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
6,1,6,50475,,"Санкт-Петербург г, Фёдора Котанова ул, 5к1стр1",104.7,51 400 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-nds-s-arendatorom-1047-m2"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
7,1,7,50464,,"Песочный п, Школьная ул, 80",85,24 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/pomeshhenie-s-wb-novogo-formata-v-zk"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
8,1,8,50462,,"Ленинградская обл, Мистолово д, -, -",12027,120 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-ucastka-pod-kommerciiu-12-ga"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
9,1,9,50450,,"Санкт-Петербург г, Северный пр-кт, 115к1 стр 1",91.2,29 900 000,10 800 000,У нас дешевле на 19 100 000 (63.9%),-19 100 000,-63.9%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/pomeshhenie-s-vingarazom-v-tc-ruci"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18918"",""ссылка"")","По адресу есть, но площадь другая",4,"Архив rent 50 м² 90 000 =HYPERLINK(""https://app.worldcafe.ru/object/18964"",""ссылка"") | Архив sale 144 м² 31 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/19421"",""ссылка"") | На сайте sale 17.9 м² 10 800 000 =HYPERLINK(""https://app.worldcafe.ru/object/18918"",""ссылка"") | Архив sale 260 м² 63 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/18902"",""ссылка"")"
10,1,10,50444,,"Стрельна п, Константина Тимошинина ул, 5",57.9,16 300 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-v-strelna"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
