position_global,page_num,page_pos,competitor_listing_id,deal_type,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
1,1,1,7358043232277606913,sale,,"улица Марата, 6",6803,2 190 000 128,1 300 000 000,У нас дешевле на 890 000 128 (40.6%),-890 000 128,-40.6%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/7358043232277606913"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/14706"",""ссылка"")",Совпало,1,"Архив sale 6803 м² 1 300 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/14706"",""ссылка"")"
2,1,2,2356319406894622209,sale,,"посёлок Шушары, Московское шоссе, 258к1",94.1,20 000 000,9 800 000,У нас дешевле на 10 200 000 (51.0%),-10 200 000,-51.0%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/2356319406894622209"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18949"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив sale 104 м² 9 800 000 =HYPERLINK(""https://app.worldcafe.ru/object/18949"",""ссылка"")"
3,1,3,5759529813475936513,sale,,"Чкаловский проспект, 60",165,70 000 000,0,У нас дешевле на 70 000 000 (100.0%),-70 000 000,-100.0%,any_type,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/5759529813475936513"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19022"",""ссылка"")","У нас аренда, у конкурента продажа",1,"Архив rent 161.2 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/19022"",""ссылка"")"
4,1,4,3580351525802483969,sale,,"набережная реки Фонтанки, 82/1",207,130 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/3580351525802483969"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
5,1,5,5512361893318923009,sale,,"Большой проспект Петроградской стороны, 53",315,150 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/5512361893318923009"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
6,1,6,9218691470598238721,sale,,"Черниговская улица, 11к1",74,20 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/9218691470598238721"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
7,1,7,4261453774892822785,sale,,"Галерная улица, 18",105,29 000 000,27 000 000,У нас дешевле на 2 000 000 (6.9%),-2 000 000,-6.9%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/4261453774892822785"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/11366"",""ссылка"")",Совпало,1,"Архив sale 105 м² 27 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/11366"",""ссылка"")"
8,1,8,3365818631286352641,sale,,"Московский проспект, 163",161,95 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/3365818631286352641"",""ссылка"")",,Совпало,1,"Без сделки no_deal 161 м² =HYPERLINK(""https://app.worldcafe.ru/object/15336"",""ссылка"")"
9,1,9,1312108225726424833,sale,,"улица Руднева, 18",92,21 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/1312108225726424833"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
10,1,10,8079401040015710721,sale,,"Театральная площадь, 16",122.1,36 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/8079401040015710721"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
11,1,11,246347588993161729,sale,,"улица Комиссара Смирнова, 5/7",140.3,50 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/246347588993161729"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
12,1,12,5480796403269830657,sale,,"Среднерогатская улица, 20",124.3,37 500 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/5480796403269830657"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
13,1,13,710848623229325569,sale,,"Гагаринская улица, 6/1",382,51 000 000,,,,,,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/710848623229325569"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
14,1,14,7922381883762012161,sale,,"Почтамтский переулок, 2",65,29 000 000,26 500 000,У нас дешевле на 2 500 000 (8.6%),-2 500 000,-8.6%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/7922381883762012161"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/16209"",""ссылка"")",Совпало,1,"Архив sale 65 м² 26 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/16209"",""ссылка"")"
15,1,15,3472755680044014849,sale,,"Стремянная улица, 22/3",373.4,402 000 000,600 000,У нас дешевле на 401 400 000 (99.9%),-401 400 000,-99.9%,any_type,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/3472755680044014849"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/12912"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 170 м² 600 000 =HYPERLINK(""https://app.worldcafe.ru/object/12912"",""ссылка"")"
16,1,16,8847170730335890689,sale,,"Лиговский проспект, 271",132.2,38 000 000,53 000 000,У нас дороже на 15 000 000 (39.5%),15 000 000,39.5%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/8847170730335890689"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/20204"",""ссылка"")",Совпало,2,"На сайте rent 132 м² 249 000 =HYPERLINK(""https://app.worldcafe.ru/object/19821"",""ссылка"") | На сайте sale 132 м² 53 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/20204"",""ссылка"")"
17,1,17,5548233127892689665,sale,,"Большой Сампсониевский проспект, 62",1400,350 000 000,0,У нас дешевле на 350 000 000 (100.0%),-350 000 000,-100.0%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/5548233127892689665"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18579"",""ссылка"")","По адресу есть, но площадь другая",2,"Архив sale 449.9 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/18579"",""ссылка"") | Архив rent 156 м² 125 000 =HYPERLINK(""https://app.worldcafe.ru/object/8571"",""ссылка"")"
18,1,18,5709788069563789825,sale,,"Гороховая улица, 47В",222,61 280 000,0,У нас дешевле на 61 280 000 (100.0%),-61 280 000,-100.0%,any_type,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/5709788069563789825"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/11344"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 3000 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/11344"",""ссылка"")"
19,1,19,5483690352973364225,sale,,"Гороховая улица, 39",128,39 000 000,39 000 000,Цена равна,0,0.0%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/5483690352973364225"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13309"",""ссылка"")",Совпало,2,"Архив rent 128 м² 250 000 =HYPERLINK(""https://app.worldcafe.ru/object/13309"",""ссылка"") | На сайте sale 128 м² 39 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/13309"",""ссылка"")"
20,1,20,4825363084309329921,sale,,"1-я Красноармейская улица, 2",252,180 000 000,80 000 000,У нас дешевле на 100 000 000 (55.6%),-100 000 000,-55.6%,same_deal,no,yandex_root,"=HYPERLINK(""https://realty.yandex.ru/offer/4825363084309329921"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/10462"",""ссылка"")","По адресу есть, но площадь другая",2,"Архив rent 94.4 м² 600 000 =HYPERLINK(""https://app.worldcafe.ru/object/10462"",""ссылка"") | Архив sale 94.4 м² 80 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/10462"",""ссылка"")"
21,1,21,5141175542932322817,sale,,"Невский проспект, 91",301,99 000 000,99 000 000,Цена равна,0,0.0%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/5141175542932322817"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/14754"",""ссылка"")",Совпало,3,"Архив rent 301 м² 690 000 =HYPERLINK(""https://app.worldcafe.ru/object/14754"",""ссылка"") | На сайте sale 301 м² 99 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/14754"",""ссылка"") | Архив rent 300 м² 1 200 000 =HYPERLINK(""https://app.worldcafe.ru/object/11510"",""ссылка"")"
22,1,22,854549783369119745,sale,,"Невский проспект, 6",157.6,220 000 000,200 000 000,У нас дешевле на 20 000 000 (9.1%),-20 000 000,-9.1%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/854549783369119745"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13934"",""ссылка"")",Совпало,2,"Архив rent 157.6 м² 1 300 000 =HYPERLINK(""https://app.worldcafe.ru/object/13934"",""ссылка"") | На сайте sale 157.6 м² 200 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/13934"",""ссылка"")"
