timestamp,session_id,respondent_id,respondent_label,index,object_id,address,district,area_m2,price_rub,sources,vote,rubric,rubric_class
2026-02-16T09:07:23,18,olya,Оля,0,obj_31,"Стрельна п, Константина Тимошинина ул, 5",Не указан,57.9,16 300 000,Северо-Запад#10/588,right,,
2026-02-16T09:07:31,18,olya,Оля,1,obj_124,"Будапештская ул, 39",Фрунзенский,42,17 500 000,KNRU#580/1313|Северо-Запад#40/588,right,Срочно актуализировать,urgent_refresh
2026-02-16T09:07:44,18,olya,Оля,2,obj_130,"Английский пр-кт, 26",Адмиралтейский,52,11 500 000,KNRU#589/1313|Северо-Запад#42/588,left,Срочно актуализировать,urgent_refresh
2026-02-16T09:07:46,18,olya,Оля,3,obj_44,"Зои Космодемьянской ул, 17/26",Кировский,96,9 900 000,KNRU#33/1313,right,Срочно актуализировать,urgent_refresh
2026-02-16T09:07:47,18,olya,Оля,4,obj_143,"Будапештская ул, 53",Не указан,194.2,56 900 000,Северо-Запад#46/588,left,Срочно актуализировать,urgent_refresh
2026-02-16T09:07:47,18,olya,Оля,5,obj_162,"Народная ул, 39 Б",Не указан,1140,357 000 000,Северо-Запад#52/588,right,Срочно актуализировать,urgent_refresh
2026-02-16T09:07:48,18,olya,Оля,6,obj_2,"Северный пр-кт, 115",Красногвардейский,91.2,29 900 000,KNRU#2/1313|Северо-Запад#9/588,left,,fresh_missing
2026-02-16T09:07:48,18,olya,Оля,7,obj_7,"Костюшко ул, 38",Московский,55.9,16 900 000,KNRU#5/1313|Северо-Запад#14/588,right,,fresh_missing
2026-02-16T09:07:49,18,olya,Оля,8,obj_36,"Кондратьевский пр-кт, 40к14",Калининский,87.6,6 500 000,KNRU#39/1313|Северо-Запад#12/588,left,,fresh_missing
2026-02-16T09:08:14,19,olya,Оля,0,obj_109,"Благодатная ул, 35",Московский,91,29 000 000,KNRU#592/1313|Северо-Запад#35/588,right,Срочно актуализировать,urgent_refresh
2026-02-16T09:08:15,19,olya,Оля,1,obj_109,"Благодатная ул, 35",Московский,91,29 000 000,KNRU#592/1313|Северо-Запад#35/588,right,Срочно актуализировать,urgent_refresh
2026-02-16T09:08:16,19,olya,Оля,2,obj_109,"Благодатная ул, 35",Московский,91,29 000 000,KNRU#592/1313|Северо-Запад#35/588,left,Срочно актуализировать,urgent_refresh
2026-02-16T09:08:16,19,olya,Оля,3,obj_109,"Благодатная ул, 35",Московский,91,29 000 000,KNRU#592/1313|Северо-Запад#35/588,left,Срочно актуализировать,urgent_refresh
2026-02-16T09:08:17,19,olya,Оля,4,obj_109,"Благодатная ул, 35",Московский,91,29 000 000,KNRU#592/1313|Северо-Запад#35/588,left,Срочно актуализировать,urgent_refresh
