timestamp,session_id,respondent_id,respondent_label,index,object_id,address,district,area_m2,price_rub,sources,vote,suggestion_text,rubric,rubric_class
2026-02-16T10:59:38,36,olya,Оля,0,obj_109,"Благодатная ул, 35",Московский,91,29 000 000,KNRU#592/1313|Северо-Запад#35/588,suggest,dsfs,Срочно актуализировать,urgent_refresh
2026-02-16T10:59:41,36,olya,Оля,1,obj_124,"Будапештская ул, 39",Фрунзенский,42,17 500 000,KNRU#580/1313|Северо-Запад#40/588,right,,Срочно актуализировать,urgent_refresh
2026-02-16T10:59:44,36,olya,Оля,2,obj_130,"Английский пр-кт, 26",Адмиралтейский,52,11 500 000,KNRU#589/1313|Северо-Запад#42/588,left,,Срочно актуализировать,urgent_refresh
2026-02-16T10:59:46,36,olya,Оля,3,obj_44,"Зои Космодемьянской ул, 17/26",Кировский,96,9 900 000,KNRU#33/1313,right,,Срочно актуализировать,urgent_refresh
2026-02-16T10:59:46,36,olya,Оля,4,obj_143,"Будапештская ул, 53",Не указан,194.2,56 900 000,Северо-Запад#46/588,left,,Срочно актуализировать,urgent_refresh
2026-02-16T11:00:32,36,olya,Оля,0,obj_162,"Народная ул, 39 Б",Не указан,1140,357 000 000,Северо-Запад#52/588,left,,Срочно актуализировать,urgent_refresh
2026-02-16T11:00:33,36,olya,Оля,1,obj_2,"Северный пр-кт, 115",Красногвардейский,91.2,29 900 000,KNRU#2/1313|Северо-Запад#9/588,left,,,fresh_missing
2026-02-16T11:00:34,36,olya,Оля,2,obj_7,"Костюшко ул, 38",Московский,55.9,16 900 000,KNRU#5/1313|Северо-Запад#14/588,right,,,fresh_missing
2026-02-16T11:00:35,36,olya,Оля,3,obj_36,"Кондратьевский пр-кт, 40к14",Калининский,87.6,6 500 000,KNRU#39/1313|Северо-Запад#12/588,left,,,fresh_missing
2026-02-16T11:00:36,36,olya,Оля,4,obj_40,"Просвещения, 53к1 Д",Калининский,418,93 000 000,KNRU#981/1313|Северо-Запад#13/588,left,,,fresh_missing
2026-02-16T11:00:39,36,olya,Оля,5,obj_106,"Богатырский пр-кт, 7к9",Приморский,1498.5,380 000 000,KNRU#76/1313|Северо-Запад#394/588,left,,,fresh_missing
2026-02-16T11:00:43,36,olya,Оля,6,obj_111,"Шостаковича ул, 3",Выборгский,94,27 000 000,KNRU#594/1313|Северо-Запад#36/588,left,,,fresh_missing
2026-02-16T11:01:26,36,olya,Оля,7,obj_117,"Дунайский пр-кт, 34",Фрунзенский,110.8,25 000 000,KNRU#583/1313|Северо-Запад#38/588,right,,,fresh_missing
2026-02-16T11:01:28,36,olya,Оля,8,obj_134,"Английский пр-кт, 26",Адмиралтейский,80,14 000 000,KNRU#590/1313|Северо-Запад#43/588,left,,,fresh_missing
2026-02-16T11:01:33,36,olya,Оля,9,obj_146,"Косыгина пр-кт, 30к1 А",Красногвардейский,411.9,87 100 000,KNRU#1297/1313|Северо-Запад#47/588,right,,,fresh_missing
2026-02-16T11:01:36,36,olya,Оля,10,obj_5,"Фёдора Абрамова, 18к1",Выборгский,20,10 450 000,KNRU#4/1313,left,,,fresh_missing
2026-02-16T11:01:38,36,olya,Оля,11,obj_6,"Большеохтинский пр-кт, 12",Не указан,756,100 000 000,Северо-Запад#2/588,right,,,fresh_missing
2026-02-16T11:01:41,36,olya,Оля,12,obj_9,"Театральная пл, 16",Не указан,127,35 800 000,Северо-Запад#3/588,right,,,fresh_missing
2026-02-16T11:01:42,36,olya,Оля,13,obj_10,"Московский пр-кт, 73к3 А",Адмиралтейский,299,8 500 000,KNRU#7/1313,right,,,fresh_missing
2026-02-16T11:01:49,36,olya,Оля,14,obj_18,"Есенина ул, 8к1",Выборгский,27,10 000 000,KNRU#13/1313,right,,,fresh_missing
2026-02-16T11:01:53,36,olya,Оля,15,obj_26,"Московский пр-кт, 20",Адмиралтейский,48,10 500 000,KNRU#18/1313,right,,,fresh_missing
2026-02-16T11:01:54,36,olya,Оля,16,obj_27,"Науки пр-кт, 16к1",Калининский,701,350 000 000,KNRU#19/1313,left,,,fresh_missing
